samp_name,source_mat_id,sample_alt_lab_ids,biosamples_accession,tissue_type,molecular_sex,molecular_sex_reference,samp_taxon_common,samp_taxon_ID,specific_host,latitude,longitude,geo_loc_name,site_name,sample_age,sample_age_upper,sample_age_lower,sample_age_inference_methods,c14_age,c14_age_sd,c14_lab_code,delta_13_c,delta_13_c_sd,sample_age_reference,nuclear_sequencing_platform,nuclear_library_strategy,nuclear_depth_of_coverage,nuclear_damage_treatment,nuclear_lib_strandedness,nuclear_reference,mt_sequencing_platform,mt_library_strategy,mt_targeted_region,mt_depth_of_coverage,mt_damage_treatment,mt_lib_strandedness,mt_accession,mt_reference,curator_comments,curated_by,curation_complete
367,NMING: F32584,,SAMEA13128056,"metatarsal bone of digit 3, UBERON:0003652",F,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,52.15,-7.7,Ireland,Ballynamintra Cave,13334,13227,13440,contextual,NA,NA,NA,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.02,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
AL2657,Eliseevichi 23781 (3),,SAMEA13128057,"mandible, UBERON:0001684",M,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,53.139282,33.642275,Russia,Eliseevichi,17633,17860,17405,radiocarbon dating,14445,65,OxA-35646,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.93,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
AH574,SMNS 32659-574,,SAMEA13128058,"petrous part of temporal bone, UBERON:0001694",M,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,48.5857539,9.7649808,Germany,Aufhausener Höhle,58002,40480,78292,genetic inference,NA,NA,NA,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.46,full-udg,single,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
AH575,SMNS 32659-575,,SAMEA13128059,"petrous part of temporal bone, UBERON:0001694",M,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,48.5857539,9.7649808,Germany,Aufhausener Höhle,57233,57233,136466,genetic inference,NA,NA,NA,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,1.53,full-udg,single,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
AH577,SMNS 32659-577,,SAMEA13128060,"petrous part of temporal bone, UBERON:0001694",F,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,48.5857539,9.7649808,Germany,Aufhausener Höhle,50238,35908,64814,genetic inference,NA,NA,NA,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.85,full-udg,single,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
AL2541,RBINS-GOY-2812-5,,SAMEA13128061,"mandible, UBERON:0001684",F,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,50.444489,5.012985,Belgium,Goyet,34030,34645,33415,radiocarbon dating,NA,NA,OxA-34429,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.79,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
AL2741,KRA-RAZ-Wolf-MAND8aBIS,,SAMEA13128062,"premolar tooth, UBERON:0007120",F,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,51.297993,84.468177,Russia,Razboinichya,81793,60502,106039,genetic inference,">47,600",NA,OxA-34820,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,1.55,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
AL2744,KRA-RAZ-Wolf-12,,SAMEA13128063,"skull, UBERON:0007120",M,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,51.297993,84.468177,Russia,Razboinichya,28345,28735,27955,radiocarbon dating,24330,170,OxA-34803,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,3.04,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
AL3185,P06 F325,,SAMEA13128064,"humerus, UBERON:0000976",M,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,43.880556,24.931642,Romania,Pietrele,6307,6505,6390,radiocarbon dating,5657,33,OxA-36897,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,4.21,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
AL2350,KZBOT_B4_1,,SAMEA13128065,"tibia, UBERON:0000979",F,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,53.218325,67.866929,Kazakhstan,Botai,5169,5296,5041,radiocarbon dating,4492,29,OxA-36898,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,1.43,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
CH1109,NOY84 XVI 8 15 0 15 9,,SAMEA13128066,"femur, UBERON:0000981",F,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,48.458351,3.334805,France,Noyen-Sur-Seine,8629,8721,8537,radiocarbon dating,7824,37,OxA-36901,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.03,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
IRK,NMING: F21120,,SAMEA13128067,"mandible, UBERON:0001684",F,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,54.05777778,-8.44972222,Ireland,"Plunkett Cave, Kesh caves",13219,13332,13106,radiocarbon dating,11390,50,OxA-38063,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.2,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
CGG13,DYA2005 1131-2,,SAMEA13128068,"mandible, UBERON:0001684",M,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,68.630556,159.135278,Russia,"Duvannyi Yar, Kolyma river downstream",101706,missing,missing,genetic inference,>47000,NA,Beta-231446,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.08,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
CGG17,YMAM-CAN1,,SAMEA13128069,"mandible, UBERON:0001684",M,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,70.72375,135.414667,Russia,"Yana site, SP locality",28520,28912,28127,radiocarbon dating,24510,170,AAR-21019,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.09,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
CGG19,M-Kh2012,,SAMEA13128070,"mandible, UBERON:0001684",M,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,70.722,135.536833,Russia,Mus-Khaya exposure 5 km downstream from the Yana site,19710,19940,19480,radiocarbon dating,16300,75,AAR-21021 ,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.08,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
CGG20,Nikita-NL-13/91,,SAMEA13128071,"humerus, UBERON:0000976",F,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,71.581194,141.618583,Russia,"Nikita Lake site, Muksunuokha river",13660,13765,13555,radiocarbon dating,11840,50,Beta-362943,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.08,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
CGG21,Berelekh-BR-09-478,,SAMEA13128072,"femur, UBERON:0000981",M,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,70.500194,144.038944,Russia,"Berelekh geoarchaeological complex, Berelekh river",13975,14394,13555,radiocarbon dating,12060,140,LE-8936,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.19,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
CGG25,Y07-NP-35020,,SAMEA13128073,"premolar 3, UBERON:7500056",F,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,70.723306,135.425222,Russia,Yana site,31424,31757,31090,radiocarbon dating,27610,190,Beta-243114,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.2,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
CGG26,Y06-NP-16436,,SAMEA13128074,"incisor tooth, UBERON:0001098",M,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,70.723306,135.425222,Russia,Yana site,31351,31568,31134,radiocarbon dating,27580,120,MAMS-24836,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.08,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
CGG27,Y06-NP-17153,,SAMEA13128075,"mandible, UBERON:0001684",M,https://doi.org/10.1038/s41586-022-04824-9,Wolf,9612,Canis lupus,70.723306,135.425222,Russia,Yana site,32844,33359,32329,radiocarbon dating,28710,130,MAMS-24248,,,https://doi.org/10.1038/s41586-022-04824-9,ILLUMINA,WGS,0.69,none,double,https://doi.org/10.1038/s41586-022-04824-9,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Anders Bergström,No
